,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
12,GOOG240719P00130000,2024-06-18 18:16:40+00:00,130.0,0.03,0.02,0.09,0.0,0.0,4.0,2873.0,0.500005,False,REGULAR,USD,2024-07-19
13,GOOG240719P00135000,2024-06-21 18:06:58+00:00,135.0,0.03,0.0,0.07,-0.03,-50.0,21.0,4621.0,0.46094289062500005,False,REGULAR,USD,2024-07-19
14,GOOG240719P00140000,2024-06-21 17:16:31+00:00,140.0,0.06,0.0,0.5,0.0,0.0,29.0,3182.0,0.5629926513671876,False,REGULAR,USD,2024-07-19
15,GOOG240719P00145000,2024-06-21 18:58:55+00:00,145.0,0.06,0.01,0.08,-0.030000005,-33.333336,28.0,4122.0,0.36524072265625,False,REGULAR,USD,2024-07-19
16,GOOG240719P00150000,2024-06-21 19:33:08+00:00,150.0,0.08,0.08,0.13,-0.049999997,-38.461536,180.0,4150.0,0.33887379882812496,False,REGULAR,USD,2024-07-19
17,GOOG240719P00155000,2024-06-21 19:52:03+00:00,155.0,0.13,0.11,0.17,-0.060000002,-31.578949,1116.0,6617.0,0.299811689453125,False,REGULAR,USD,2024-07-19
18,GOOG240719P00160000,2024-06-21 19:36:41+00:00,160.0,0.2,0.2,0.26,-0.14,-41.17647,1234.0,8324.0,0.26709717285156254,False,REGULAR,USD,2024-07-19
19,GOOG240719P00165000,2024-06-21 19:50:00+00:00,165.0,0.39,0.42,0.47,-0.31,-44.285713,338.0,5145.0,0.24195093994140626,False,REGULAR,USD,2024-07-19
20,GOOG240719P00170000,2024-06-21 19:57:07+00:00,170.0,0.9,0.87,1.1,-0.5,-35.714287,761.0,6977.0,0.23584748535156247,False,REGULAR,USD,2024-07-19
21,GOOG240719P00175000,2024-06-21 19:59:40+00:00,175.0,1.91,1.65,2.44,-0.83000004,-30.291971,1523.0,12607.0,0.2387771435546875,False,REGULAR,USD,2024-07-19
22,GOOG240719P00180000,2024-06-21 19:58:23+00:00,180.0,3.6,3.6,3.8,-1.4500003,-28.712875,630.0,10939.0,0.2010577941894531,False,REGULAR,USD,2024-07-19
23,GOOG240719P00185000,2024-06-21 19:54:40+00:00,185.0,6.0,6.25,8.45,-2.3500004,-28.143715,242.0,153.0,0.2915109912109374,True,REGULAR,USD,2024-07-19
24,GOOG240719P00190000,2024-06-21 19:32:16+00:00,190.0,10.0,9.9,11.2,-2.9099998,-22.540665,25.0,159.0,0.2417068017578125,True,REGULAR,USD,2024-07-19
25,GOOG240719P00195000,2024-06-21 18:23:56+00:00,195.0,13.6,12.5,15.7,-2.3499994,-14.73354,20.0,4.0,0.2664868273925781,True,REGULAR,USD,2024-07-19
26,GOOG240719P00200000,2024-06-21 16:36:33+00:00,200.0,17.5,17.5,20.55,-4.1000004,-18.981483,21.0,0.0,0.30713583496093744,True,REGULAR,USD,2024-07-19
27,GOOG240719P00205000,2024-06-14 13:30:02+00:00,205.0,27.15,22.5,25.55,0.0,0.0,1.0,0.0,0.35767243896484374,True,REGULAR,USD,2024-07-19
28,GOOG240719P00210000,2024-04-11 14:44:11+00:00,210.0,51.17,37.7,42.0,0.0,0.0,1.0,0.0,1.0367479803466801,True,REGULAR,USD,2024-07-19
29,GOOG240719P00230000,2024-04-11 14:44:11+00:00,230.0,71.08,57.7,62.0,0.0,0.0,,0.0,1.2840611968994138,True,REGULAR,USD,2024-07-19
30,GOOG240719P00260000,2024-05-07 14:11:23+00:00,260.0,88.34,81.75,82.45,0.0,0.0,,0.0,0.9948730981445313,True,REGULAR,USD,2024-07-19
0,GOOG240726P00090000,2024-06-14 17:15:34+00:00,90.0,0.17,0.0,1.85,0.0,0.0,2.0,5.0,1.3354525415039058,False,REGULAR,USD,2024-07-26
1,GOOG240726P00130000,2024-06-20 17:19:02+00:00,130.0,0.08,0.01,0.37,0.0,0.0,3.0,6.0,0.526371923828125,False,REGULAR,USD,2024-07-26
2,GOOG240726P00140000,2024-06-20 13:30:08+00:00,140.0,0.23,0.07,0.23,0.0,0.0,1.0,12.0,0.43457596679687505,False,REGULAR,USD,2024-07-26
3,GOOG240726P00145000,2024-06-17 13:50:27+00:00,145.0,0.53,0.13,0.28,0.0,0.0,15.0,61.0,0.39649041015625003,False,REGULAR,USD,2024-07-26
