,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
23,GOOG240628C00185000,2024-06-21 19:59:59+00:00,185.0,0.62,0.53,0.62,0.36,138.46155,9591.0,2277,0.23926541992187497,False,REGULAR,USD,2024-06-28
24,GOOG240628C00187500,2024-06-21 19:59:19+00:00,187.5,0.29,0.19,0.31,0.19,190.0,6061.0,968,0.24951922363281248,False,REGULAR,USD,2024-06-28
25,GOOG240628C00190000,2024-06-21 19:59:43+00:00,190.0,0.15,0.13,0.16,0.080000006,114.28572,9422.0,1325,0.26367923828125,False,REGULAR,USD,2024-06-28
26,GOOG240628C00192500,2024-06-21 19:53:43+00:00,192.5,0.09,0.01,0.11,0.050000004,125.000015,1552.0,234,0.2910227148437499,False,REGULAR,USD,2024-06-28
27,GOOG240628C00195000,2024-06-21 19:56:27+00:00,195.0,0.07,0.05,0.08,0.04,133.33334,447.0,834,0.31836619140624994,False,REGULAR,USD,2024-06-28
28,GOOG240628C00197500,2024-06-21 19:44:13+00:00,197.5,0.05,0.02,0.06,0.030000001,150.00002,135.0,47,0.34570966796874997,False,REGULAR,USD,2024-06-28
29,GOOG240628C00200000,2024-06-21 19:59:05+00:00,200.0,0.05,0.02,0.05,0.020000001,66.66667,2867.0,608,0.37500625,False,REGULAR,USD,2024-06-28
30,GOOG240628C00202500,2024-06-21 19:06:16+00:00,202.5,0.04,0.01,0.06,-0.010000002,-20.000004,20.0,9,0.42383388671875,False,REGULAR,USD,2024-06-28
31,GOOG240628C00205000,2024-06-21 19:12:19+00:00,205.0,0.03,0.01,0.03,0.01,50.0,27.0,70,0.42188078125,False,REGULAR,USD,2024-06-28
32,GOOG240628C00210000,2024-06-21 15:10:59+00:00,210.0,0.03,0.0,0.03,0.01,50.0,26.0,173,0.48828636718750007,False,REGULAR,USD,2024-06-28
33,GOOG240628C00215000,2024-06-20 17:43:30+00:00,215.0,0.01,0.0,0.04,0.0,0.0,6.0,19,0.5312546875,False,REGULAR,USD,2024-06-28
34,GOOG240628C00220000,2024-06-20 16:11:46+00:00,220.0,0.01,0.0,0.04,0.0,0.0,2.0,61,0.5898478515625001,False,REGULAR,USD,2024-06-28
35,GOOG240628C00225000,2024-06-18 18:16:03+00:00,225.0,0.01,0.0,0.04,0.0,0.0,20.0,26,0.648441015625,False,REGULAR,USD,2024-06-28
36,GOOG240628C00230000,2024-06-18 18:14:37+00:00,230.0,0.01,0.0,0.04,0.0,0.0,20.0,26,0.70312796875,False,REGULAR,USD,2024-06-28
0,GOOG240705C00090000,2024-06-14 17:08:18+00:00,90.0,88.3,89.65,92.85,0.0,0.0,5.0,5,2.188481091308593,True,REGULAR,USD,2024-07-05
1,GOOG240705C00120000,2024-05-24 15:27:34+00:00,120.0,57.47,59.75,63.0,0.0,0.0,3.0,3,1.423831005859375,True,REGULAR,USD,2024-07-05
2,GOOG240705C00130000,2024-06-20 15:05:00+00:00,130.0,47.94,49.75,53.0,0.0,0.0,10.0,7,1.19141029296875,True,REGULAR,USD,2024-07-05
