Date,Open,High,Low,Close,Adj Close,Volume
2017-07-20,31.131001,31.131001,30.212999,30.212999,121405.929688,50
2017-07-27,30.645000,31.313000,30.645000,31.313000,125826.101563,380
2017-08-03,31.750999,32.790001,31.750999,32.528999,130712.390625,2609
2017-08-10,32.157001,33.000000,32.138000,32.672001,131287.031250,386
2017-08-17,32.613998,33.758999,32.613998,33.758999,135654.937500,35
2017-08-24,33.882999,34.361000,33.882999,33.935001,136362.171875,195
2017-08-31,33.901001,34.152000,33.285999,34.152000,137234.156250,336
2017-09-07,33.852001,33.852001,33.113998,33.542000,134782.953125,120
2017-09-14,33.495998,33.667999,32.875999,32.875999,132106.750000,200
2017-09-21,32.841000,32.841000,30.825001,31.000000,124568.351563,290
2017-09-28,30.745001,32.655998,30.745001,32.655998,131222.718750,39
2017-10-05,32.436001,33.056000,32.436001,33.056000,132830.062500,5
2017-10-12,33.750000,34.500000,33.750000,34.146000,137210.046875,1528
2017-10-19,34.626999,35.000000,34.148998,35.000000,140641.703125,848
2017-10-26,34.945000,34.945000,34.532001,34.532001,138761.140625,625
2017-11-02,34.535999,34.821999,33.459000,33.459000,134449.453125,1402
2017-11-09,33.304001,33.304001,32.188999,32.188999,129346.164063,630
2017-11-16,31.700001,32.455002,31.669001,32.455002,130415.046875,503
2017-11-23,32.626999,32.990002,32.168999,32.168999,129265.789063,500
2017-11-30,31.770000,31.909000,31.412001,31.812000,127831.257813,175
2017-12-07,31.332001,32.283001,31.332001,32.283001,129723.890625,0
2017-12-14,32.279999,33.386002,32.279999,33.264999,133669.875000,0
2017-12-21,33.157001,33.735001,33.157001,33.706001,135441.984375,150
2017-12-28,33.966000,34.599998,33.966000,34.599998,139034.359375,200
2018-01-04,34.959999,35.520000,34.639999,34.639999,139195.093750,959
2018-01-11,34.580002,35.320000,34.580002,35.320000,141927.562500,70
2018-01-18,35.180000,37.619999,34.900002,37.599998,151089.359375,4327
2018-01-25,36.980000,37.040001,36.340000,36.340000,146026.265625,0
2018-02-01,37.160000,37.619999,35.680000,35.680000,143374.171875,120
2018-02-08,36.340000,36.919998,35.400002,36.919998,148356.890625,300
2018-02-15,36.779999,37.439999,36.400002,36.400002,146267.375000,575
2018-02-22,36.660000,37.040001,36.080002,37.040001,148839.109375,447
2018-03-01,36.639999,36.980000,34.939999,35.560001,142891.953125,1469
2018-03-08,36.119999,37.500000,36.119999,37.500000,150687.546875,380
2018-03-15,37.139999,37.200001,36.200001,36.380001,146187.000000,376
2018-03-22,37.020000,37.020000,35.820000,36.020000,144740.390625,0
2018-03-29,35.799999,36.540001,35.799999,36.540001,146829.953125,0
2018-04-05,36.160000,36.840000,35.599998,35.639999,143213.437500,160
2018-04-12,35.520000,36.240002,35.520000,35.820000,143936.718750,0
2018-04-19,36.480000,36.480000,35.880001,35.880001,144177.828125,0
2018-04-26,35.700001,36.299999,35.700001,36.299999,145865.531250,820
2018-05-03,35.680000,35.680000,33.860001,33.860001,136060.812500,340
2018-05-10,33.220001,35.759998,33.220001,34.000000,136623.359375,300
2018-05-17,33.680000,33.680000,31.740000,32.439999,130354.757813,415
2018-05-24,31.959999,32.439999,29.920000,29.920000,120228.562500,174
2018-05-31,30.299999,32.400002,30.299999,31.920000,-21898.773438,17
2018-06-07,32.299999,33.000000,30.680000,30.680000,-21048.070313,160
2018-06-14,30.459999,31.219999,29.400000,30.040001,-20608.996094,1685
2018-06-21,30.000000,30.660000,29.940001,30.240000,-20746.207031,0
2018-06-28,30.080000,30.920000,29.820000,30.920000,-21212.722656,850
2018-07-05,31.480000,31.480000,30.600000,30.600000,-20993.187500,250
2018-07-12,30.200001,31.100000,30.200001,30.639999,-21020.626953,160
2018-07-19,30.480000,30.559999,30.160000,30.559999,-20965.742188,0
2018-07-26,30.340000,31.920000,30.340000,31.680000,-21734.121094,0
2018-08-02,32.220001,32.880001,32.200001,32.720001,-22447.617188,190
2018-08-09,32.939999,32.939999,30.760000,30.760000,-21102.953125,125
2018-08-16,30.180000,31.780001,30.180000,31.420000,-21555.748047,350
2018-08-23,31.100000,31.100000,30.600000,31.100000,-21336.210938,1
2018-08-30,31.660000,31.660000,30.719999,30.719999,-21075.511719,201
2018-09-06,31.040001,31.559999,29.780001,29.780001,-20430.625000,1300
2018-09-13,29.980000,30.680000,29.980000,30.420000,-20869.697266,2000
2018-09-20,30.500000,30.540001,30.000000,30.059999,-20622.718750,0
2018-09-27,30.120001,31.360001,30.100000,31.360001,-21514.585938,101
2018-10-04,31.299999,31.299999,30.920000,31.120001,-21349.933594,0
2018-10-11,30.920000,32.040001,30.080000,32.040001,-21981.101563,613
2018-10-18,31.480000,31.620001,31.320000,31.320000,-21487.142578,600
2018-10-25,31.440001,31.440001,30.480000,30.480000,-20910.859375,300
2018-11-01,30.940001,33.520000,30.940001,33.520000,-22996.457031,350
2018-11-08,33.660000,34.560001,33.619999,34.540001,-23696.228516,2112
2018-11-15,35.500000,35.500000,34.939999,34.939999,-23970.650391,0
2018-11-22,35.320000,35.320000,34.860001,35.080002,-24066.697266,0
2018-11-29,34.799999,36.119999,34.799999,36.119999,-24780.191406,59
2018-12-06,36.099998,36.099998,34.540001,35.700001,-24492.048828,231
2018-12-13,35.919998,36.400002,35.360001,35.360001,-24258.791016,100
2018-12-20,35.200001,35.320000,35.200001,35.320000,-24231.349609,0
2018-12-27,35.020000,35.220001,34.480000,35.220001,-24162.746094,200
