Date,Open,High,Low,Close,Adj Close,Volume
2015-07-13,18.173000,18.757999,18.173000,18.757999,2974683.250000,527
2015-07-14,18.400000,18.400000,18.330999,18.330999,2906969.000000,100
2015-07-15,18.507999,18.709999,18.507999,18.709999,2967071.250000,1260
2015-07-16,18.900000,18.900000,18.900000,18.900000,2997201.750000,77
2015-07-17,18.891001,18.891001,18.891001,18.891001,2995775.000000,0
2015-07-20,18.774000,18.774000,18.774000,18.774000,2977220.250000,0
2015-07-21,18.774000,19.073999,18.774000,19.073999,3024795.500000,200
2015-07-22,18.937000,18.937000,18.937000,18.937000,3003069.250000,0
2015-07-23,18.806000,18.806000,18.806000,18.806000,2982294.750000,0
2015-07-24,18.770000,18.770000,18.590000,18.590000,2948041.500000,475
2015-07-27,18.370001,18.370001,18.370001,18.370001,2913153.250000,0
2015-07-28,18.301001,18.563000,18.301001,18.563000,2943759.500000,408
2015-07-29,18.511000,18.511000,18.511000,18.511000,2935513.500000,0
2015-07-30,18.427000,18.427000,18.427000,18.427000,2922192.500000,0
2015-07-31,18.549999,18.549999,18.549999,18.549999,2941698.250000,0
2015-08-03,18.559999,18.559999,18.559999,18.559999,2943283.750000,0
2015-08-04,18.549999,18.549999,18.549999,18.549999,2941698.250000,0
2015-08-05,18.549999,18.549999,18.549999,18.549999,2941698.250000,0
2015-08-06,18.549999,18.549999,18.549999,18.549999,2941698.250000,0
2015-08-07,18.136999,18.136999,18.136999,18.136999,2876204.000000,0
2015-08-10,18.257999,18.257999,18.257999,18.257999,2895392.000000,0
2015-08-11,18.101000,18.101000,18.101000,18.101000,2870495.000000,0
2015-08-12,18.079000,18.079000,18.079000,18.079000,2867006.000000,0
2015-08-13,18.046000,18.046000,18.046000,18.046000,2861772.750000,0
2015-08-14,18.584000,18.584000,18.584000,18.584000,2947089.750000,0
2015-08-17,17.913000,17.913000,17.913000,17.913000,2840681.250000,0
2015-08-18,17.937000,17.937000,17.937000,17.937000,2844487.750000,0
2015-08-19,17.948000,17.948000,17.948000,17.948000,2846231.250000,0
2015-08-20,17.884001,17.884001,17.884001,17.884001,2836082.500000,0
2015-08-21,17.379000,17.379000,17.222000,17.222000,2731101.250000,1855
2015-08-24,17.295000,17.295000,17.295000,17.295000,2742677.500000,100
2015-08-25,16.714001,17.191999,16.714001,17.191999,2726343.500000,970
2015-08-26,17.125999,17.125999,17.125999,17.125999,2715877.000000,0
2015-08-27,16.599001,16.599001,16.599001,16.599001,2632304.500000,0
2015-08-28,16.792000,16.834000,16.792000,16.834000,2669571.250000,200
